Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Perimeter µm
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9892.3	1314.9	83.54	33.36
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9090.6	682.43	25.72	19.03
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9200.9	926.38	54.35	28.22
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9610.5	527.54	22.23	17.96
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8634.7	661.54	80.61	32.59
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9172.2	2526.9	111.52	37.97
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9480.2	2455.3	73.24	30.9
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9016.1	1333.2	75.32	31.28
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9152	2421.9	89.5	33.99
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9136.1	1451.1	23.15	21.24
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9386.5	886.58	69.42	30.15
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10045.6	1967.6	93.99	34.78
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10457.4	1757.7	102.7	36.39
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9298.8	788.94	83.9	33
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8792.4	874.15	82.02	32.95
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9827.6	836.1	44.22	24.31
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9067.5	1393.5	39.33	23.14
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8838.2	1786.5	62.87	29.26
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9480.9	2102.7	36.78	22.1
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10513.7	542.67	34.72	22.39
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10450.3	1044.1	30.97	20.48
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10308.4	1097.8	32.82	21.07
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10012.3	874.51	25	18.45
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9785.6	1778.5	53.92	26.64
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8621.6	776.38	38.75	24.23
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9816.5	780.3	12.54	15.09
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10257.5	498.29	43.87	24.05
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10375.8	632.42	77.46	31.85
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10438.2	776.04	77.17	31.83
