Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Detection probability	Area µm^2	Length µm	Circularity	Solidity	Max diameter µm	Min diameter µm	Hematoxylin: Mean	Hematoxylin: Median	Hematoxylin: Min	Hematoxylin: Max	Hematoxylin: Std.Dev.	DAB: Mean	DAB: Median	DAB: Min	DAB: Max	DAB: Std.Dev.
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10630.7	1296.2	0.9127	63.1817	29.6	0.9062	0.988	11.0793	7.4646	0.3682	0.4224	0.076	0.6069	0.1433	-0.0226	-0.0326	-0.0777	0.0586	0.0354
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10547.7	700.34	0.9126	87.8255	34.3218	0.9369	0.9999	12.3376	8.7761	0.3893	0.4078	0.1328	0.6451	0.0955	-0.0364	-0.0452	-0.1028	0.0358	0.0318
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	11312.6	2132.7	0.9124	68.2669	29.8042	0.9658	1	10.2574	8.6046	0.3746	0.3977	0.0826	0.6046	0.1047	-0.031	-0.0422	-0.0812	0.0639	0.0303
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	11538	2048.8	0.9124	37.9745	23.8381	0.8398	1	8.7227	5.4954	0.3964	0.4287	0.1123	0.6912	0.138	-0.0374	-0.0268	-0.1035	0.0447	0.0373
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10710.7	658.37	0.9124	90.7129	34.5186	0.9567	1	12.0499	9.8999	0.3533	0.352	0.086	0.635	0.109	-0.0284	-0.033	-0.0789	0.0643	0.0299
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10709.5	2001.8	0.9124	101.5944	36.2149	0.9734	1	12.1802	10.6077	0.3813	0.39	0.1287	0.5477	0.0836	-0.0384	-0.0429	-0.0944	0.0335	0.0274
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10871.8	1919.9	0.9123	132.8187	41.9196	0.9498	0.9996	15.0014	11.2263	0.389	0.3809	0.1816	0.6266	0.0786	-0.046	-0.0485	-0.0964	0.0289	0.0257
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10273	1223.3	0.9123	207.5319	51.7249	0.9748	1	17.4901	15.4214	0.5196	0.5143	0.3147	0.7729	0.0745	-0.07	-0.0711	-0.1083	0.0134	0.0161
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10711.7	1891.9	0.9123	75.793	31.4693	0.9618	1	11.2296	8.9708	0.3456	0.349	0.1005	0.5976	0.0853	-0.0319	-0.0379	-0.0825	0.0369	0.0273
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10901.2	1963.6	0.9122	110.7239	37.7531	0.9762	1	12.6109	11.2615	0.3673	0.3946	0.0809	0.6174	0.1255	-0.0291	-0.0392	-0.1087	0.0816	0.0357
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10740.8	1330	0.9121	75.6298	31.1572	0.979	1	10.463	9.3558	0.3062	0.3233	0.1316	0.4294	0.0623	-0.0254	-0.0284	-0.0693	0.0347	0.0197
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10409	2208	0.912	66.7187	29.609	0.9563	1	10.2834	8.1234	0.3763	0.3711	0.1052	0.6574	0.1186	-0.0309	-0.0347	-0.0875	0.034	0.029
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10309.6	1661.7	0.9119	86.2639	33.4507	0.9688	1	11.5723	9.8766	0.3495	0.3671	0.118	0.5665	0.0866	-0.036	-0.0422	-0.08	0.0466	0.0256
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10394.9	851.94	0.9118	111.2231	38.5544	0.9403	0.9978	13.9946	10.2009	0.478	0.4913	0.1759	0.6781	0.0856	-0.0596	-0.0631	-0.1107	0.0305	0.03
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	11174.8	1048.8	0.9117	97.8466	35.9254	0.9527	1	12.747	9.526	0.4545	0.4641	0.1247	0.8244	0.117	-0.0545	-0.0622	-0.1131	0.0484	0.0327
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10798.7	1493.5	0.9116	117.7499	39.0606	0.9698	1	13.0267	11.3451	0.3614	0.3702	0.1747	0.4625	0.0532	-0.0394	-0.0421	-0.078	0.0265	0.0173
